Key,DateTimeStamp,CaregiverID,StudyPhase,SessionType,SessionCount,TotalSessionTrials,SessionBlockCount,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3
55,2024-08-06T14:36:59-04:00,Case1,0_BL,0_AC,1,1,0.5,0,0,0,0,0,0,0,0
56,2024-08-06T14:39:49-04:00,Case1,0_BL,1_SC,1,1,0.5,0,0,0,0,0,0,0,0
57,2024-08-06T14:41:21-04:00,Case1,0_BL,1_SC,1,2,1,0,0,0,0,0,0,0,0
58,2024-08-06T14:42:38-04:00,Case1,0_BL,1_SC,1,3,1.5,0,0,0,0,0,0,0,0
59,2024-08-06T14:44:00-04:00,Case1,0_BL,1_SC,1,4,2,0,0,0,0,0,0,0,0
60,2024-08-06T14:45:11-04:00,Case1,0_BL,1_SC,1,5,2.5,0,0,0,0,0,0,0,0
61,2024-08-06T14:46:18-04:00,Case1,0_BL,1_SC,1,6,3,0,0,0,0,0,0,0,0
62,2024-08-06T14:50:08-04:00,Case1,0_BL,0_AC,1,1,0.5,0,0,0,0,0,0,0,0
63,2024-08-06T14:52:05-04:00,Case1,0_BL,1_SC,1,1,0.5,0,0,0,0,0,0,0,0
64,2024-08-06T14:53:27-04:00,Case1,0_BL,1_SC,1,2,1,0,0,0,0,0,0,0,0
65,2024-08-06T14:54:29-04:00,Case1,0_BL,1_SC,1,3,1.5,0,0,0,0,0,0,0,0
66,2024-08-06T14:55:58-04:00,Case1,0_BL,1_SC,1,4,2,0,0,0,0,0,0,0,0
67,2024-08-06T14:58:13-04:00,Case1,0_BL,0_AC,1,1,0.5,0,0,0,0,0,0,0,0
68,2024-08-07T09:36:05-04:00,Case1,1_T1,1_SC,2,1,0.5,0,0,0,0,0,0,0,0
69,2024-08-07T09:37:24-04:00,Case1,1_T1,1_SC,2,2,1,0,0,0,0,0,0,0,0
70,2024-08-07T09:38:48-04:00,Case1,1_T1,1_SC,2,3,1.5,0,0,0,0,0,0,0,0
71,2024-08-07T09:40:13-04:00,Case1,1_T1,1_SC,2,4,2,0,0,0,0,0,0,0,0
72,2024-08-07T09:41:15-04:00,Case1,1_T1,1_SC,2,5,2.5,0,0,0,0,0,0,0,0
73,2024-08-07T09:42:45-04:00,Case1,1_T1,1_SC,2,6,3,0,0,0,0,0,0,0,0
